timestamp,open,high,low,close,volume,symbol,timeframe
2026-02-25T00:00:00,6906.5,6907.5,6905.75,6906.75,265,ES,3m
2026-02-25T00:03:00,6907.0,6907.75,6906.5,6907.75,170,ES,3m
2026-02-25T00:06:00,6907.75,6908.5,6907.75,6908.25,200,ES,3m
2026-02-25T00:09:00,6908.25,6910.25,6908.0,6909.75,314,ES,3m
2026-02-25T00:12:00,6909.75,6909.75,6906.5,6907.0,220,ES,3m
2026-02-25T00:15:00,6907.0,6907.25,6906.5,6906.75,110,ES,3m
2026-02-25T00:18:00,6906.5,6907.0,6905.5,6905.75,213,ES,3m
2026-02-25T00:21:00,6905.5,6905.75,6903.75,6904.25,405,ES,3m
2026-02-25T00:24:00,6904.25,6905.0,6903.5,6905.0,269,ES,3m
2026-02-25T00:27:00,6904.75,6905.5,6904.5,6904.5,114,ES,3m
2026-02-25T00:30:00,6904.75,6905.75,6903.5,6904.25,241,ES,3m
2026-02-25T00:33:00,6904.25,6904.25,6903.25,6903.5,148,ES,3m
2026-02-25T00:36:00,6903.25,6904.5,6902.75,6904.25,236,ES,3m
2026-02-25T00:39:00,6904.25,6905.25,6904.25,6904.25,309,ES,3m
2026-02-25T00:42:00,6904.25,6905.0,6903.5,6904.5,165,ES,3m
2026-02-25T00:45:00,6904.75,6907.25,6904.5,6907.0,242,ES,3m
2026-02-25T00:48:00,6907.0,6907.75,6906.75,6907.25,165,ES,3m
2026-02-25T00:51:00,6907.25,6907.5,6906.5,6906.5,95,ES,3m
2026-02-25T00:54:00,6906.25,6906.5,6904.0,6904.0,277,ES,3m
2026-02-25T00:57:00,6904.0,6904.5,6903.25,6904.25,168,ES,3m
2026-02-25T01:00:00,6904.0,6904.5,6902.5,6903.25,245,ES,3m
2026-02-25T01:03:00,6903.5,6904.0,6903.0,6904.0,212,ES,3m
2026-02-25T01:06:00,6904.0,6905.25,6903.75,6904.75,279,ES,3m
2026-02-25T01:09:00,6904.75,6905.75,6904.25,6905.5,201,ES,3m
2026-02-25T01:12:00,6905.5,6906.0,6904.25,6906.0,204,ES,3m
2026-02-25T01:15:00,6906.0,6906.0,6904.75,6905.75,199,ES,3m
2026-02-25T01:18:00,6905.75,6906.5,6905.25,6906.5,223,ES,3m
2026-02-25T01:21:00,6906.5,6908.75,6906.25,6907.0,497,ES,3m
2026-02-25T01:24:00,6907.0,6908.75,6906.75,6908.5,332,ES,3m
2026-02-25T01:27:00,6908.75,6909.5,6905.75,6906.0,535,ES,3m
2026-02-25T01:30:00,6905.75,6907.75,6905.0,6907.0,381,ES,3m
2026-02-25T01:33:00,6907.0,6908.0,6906.75,6908.0,81,ES,3m
2026-02-25T01:36:00,6908.0,6909.25,6907.75,6908.75,121,ES,3m
2026-02-25T01:39:00,6909.0,6909.25,6906.5,6907.75,290,ES,3m
2026-02-25T01:42:00,6908.0,6908.5,6907.0,6907.0,117,ES,3m
2026-02-25T01:45:00,6906.75,6907.0,6905.5,6906.75,235,ES,3m
2026-02-25T01:48:00,6906.5,6906.75,6904.75,6905.75,196,ES,3m
2026-02-25T01:51:00,6905.75,6906.5,6905.5,6905.75,107,ES,3m
2026-02-25T01:54:00,6906.0,6906.0,6905.25,6905.5,70,ES,3m
2026-02-25T01:57:00,6905.5,6906.0,6905.25,6905.5,97,ES,3m
2026-02-25T02:00:00,6905.75,6907.75,6905.5,6905.5,322,ES,3m
2026-02-25T02:03:00,6905.5,6907.0,6904.5,6906.25,301,ES,3m
2026-02-25T02:06:00,6906.25,6906.25,6905.0,6906.25,126,ES,3m
2026-02-25T02:09:00,6906.25,6908.25,6906.25,6907.25,196,ES,3m
2026-02-25T02:12:00,6907.5,6907.75,6905.5,6905.5,289,ES,3m
2026-02-25T02:15:00,6905.5,6906.75,6904.75,6906.5,223,ES,3m
2026-02-25T02:18:00,6906.5,6906.5,6904.0,6904.75,298,ES,3m
2026-02-25T02:21:00,6904.75,6906.25,6904.5,6905.75,157,ES,3m
2026-02-25T02:24:00,6905.5,6905.5,6904.5,6904.5,96,ES,3m
2026-02-25T02:27:00,6904.5,6905.75,6904.0,6905.5,152,ES,3m
2026-02-25T02:30:00,6905.5,6905.5,6904.25,6904.5,172,ES,3m
2026-02-25T02:33:00,6904.5,6904.5,6901.25,6901.5,532,ES,3m
2026-02-25T02:36:00,6901.25,6903.25,6901.0,6902.75,320,ES,3m
2026-02-25T02:39:00,6902.5,6903.75,6902.5,6903.5,170,ES,3m
2026-02-25T02:42:00,6903.5,6904.25,6902.5,6903.0,360,ES,3m
2026-02-25T02:45:00,6903.0,6904.5,6903.0,6904.0,175,ES,3m
2026-02-25T02:48:00,6903.75,6905.25,6903.75,6904.25,184,ES,3m
2026-02-25T02:51:00,6904.25,6905.0,6904.0,6905.0,202,ES,3m
2026-02-25T02:54:00,6905.0,6905.75,6904.0,6904.25,245,ES,3m
2026-02-25T02:57:00,6904.25,6904.75,6903.5,6903.5,230,ES,3m
2026-02-25T03:00:00,6903.75,6909.25,6903.75,6908.75,1144,ES,3m
2026-02-25T03:03:00,6909.0,6912.25,6907.5,6912.0,1404,ES,3m
2026-02-25T03:06:00,6912.0,6912.5,6908.25,6908.25,841,ES,3m
2026-02-25T03:09:00,6908.25,6909.0,6906.75,6907.75,528,ES,3m
2026-02-25T03:12:00,6908.25,6909.25,6906.5,6908.25,386,ES,3m
2026-02-25T03:15:00,6908.25,6909.0,6906.75,6908.75,338,ES,3m
2026-02-25T03:18:00,6908.75,6913.5,6908.75,6913.25,704,ES,3m
2026-02-25T03:21:00,6913.25,6913.5,6911.0,6912.75,520,ES,3m
2026-02-25T03:24:00,6912.75,6914.5,6912.0,6913.5,533,ES,3m
2026-02-25T03:27:00,6913.25,6913.25,6911.75,6912.0,361,ES,3m
2026-02-25T03:30:00,6912.0,6912.75,6910.25,6910.5,347,ES,3m
2026-02-25T03:33:00,6910.5,6911.25,6909.5,6910.75,305,ES,3m
2026-02-25T03:36:00,6910.5,6913.25,6910.25,6913.0,240,ES,3m
2026-02-25T03:39:00,6913.0,6913.0,6911.25,6911.75,284,ES,3m
